NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B140,0.0662,9.74,115,54.3,87.5,rua,0.4,18.75,0.16,61.24,0.0747,40.82666666666667,89.0,1.5,Transbordamento,53.54,2.6,57.78,92.66182069920387,4.499826929733472,61.59,0.0,0.0,4.71,0.04
B139,0.0654,10.0,115,54.3,87.5,rua,0.6,18.75,0.44,763.99,0.0377,574.4285714285714,89.0,1.33,Transbordamento,53.54,2.6,57.78,92.66182069920387,4.499826929733472,61.59,0.0,0.0,4.71,0.04
B141,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.16,61.24,0.0747,40.82666666666667,89.0,1.5,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B142,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.16,61.24,0.0747,40.82666666666667,89.0,1.5,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B144,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.19,29.88,0.0365,16.786516853932582,89.0,1.78,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B145,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.19,29.88,0.0365,16.786516853932582,89.0,1.78,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B146,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.25,44.82,0.0547,28.0125,89.0,1.6,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B147,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.25,44.82,0.0547,28.0125,89.0,1.6,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B148,0.0315,9.74,115,54.3,87.5,rua,0.4,18.75,0.25,44.82,0.0547,28.0125,89.0,1.6,Transbordamento,53.7,2.6,57.97,92.6341210971192,4.4850784888735555,61.59,0.0,0.0,4.74,0.02
B149,0.0618,9.74,115,54.3,87.5,rua,0.4,15.75,0.55,29.26,0.0356,0.08611111111111111,89.0,1.8,Normal,53.49,2.6,57.72,92.67151767151768,4.504504504504505,61.59,0.0,0.0,4.7,0.04
